Title,Rating,Domestic_sales,international_sales,
WALL-E,9,223808164,297503696,
Toy Story,8,191796233,170162503,
Ratatouille,8,206445654,417277164,
Toy Story 2,8,245852179,239163000,
"Monsters, Inc.",8,289916256,272900000,
Up,8,293004164,438338580,
Finding Nemo,8,380843261,555900000,
Toy Story 3,8,415004880,648167031,
The Incredibles,8,261441092,370001000,
Brave,7.2,237283207,301700000,
A Bug's Life,7.2,162798565,200600000,
Cars,7,244082982,217900167,
Monsters University,7,268492764,475066843,
Cars 2,6,191452396,368400000,
